Student Contributor Name,Address,Zip Code,Price Sold,Date Sold,Number of Bedrooms,Number of Bathrooms (add 0.5 for a half bath),Year Built,Squared Feet,Lot size (in sqft),Number of Parking Spots
Ajay Mahato,"1501 E McMillan St, Cincinnati, OH",45206,545000,1/3/2024,5,4,1877,7171,11761.2,NA
Nikhita Veluri,"1501 E McMillan St, Cincinnati, OH",45206,545000,1/3/2024,5,3.5,1877,7171,11761,0
Rachael Rahe,"1501 E McMillan St, Cincinnati, OH",45206,545000,1/3/2024,5,4,1877,7171,11751.2,0
Archana Basnett,"2989 W McMicken Ave, Cincinnati, OH",45225,2900,11/15/2023,3,2,1880,1508,"2,482",1
Shreyas Nadig,"314 Emming St, Cincinnati",45219,195000,4/19/2023,4,2,1880,"1,404",2570,
Shreyas Nadig,"2210 Wheeler St, Cincinnati",45219,212000,4/28/2023,3,2,1880,"1,500",2125,
Shreyas Nadig,"115 Parker St, Cincinnati",45219,285000,12/1/2022,3,3,1880,"2,640",1829,
Josie Wittwer,"5800 Carothers St, Cincinnati, OH",45227,317000,8/31/2023,2,2.5,1880,"1,640","5,793",carport
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"315 Klotter Ave, Cincinnati, OH 45219",45219,335000,7/28/2023,3,2.5,1880,1484,1665,0
Shreyas Nadig,"315 Klotter Ave, Cincinnati",45219,335500,7/28/2023,3,3,1880,"1,484",1655,
Archana Basnett,"1129 Belvedere St, Cincinnati, OH",45202,680000,11/15/2023,3,4,1880,2562,,1
Nikhil Sai Kumar Runku,"2219 Grandin Rd, Cincinnati, OH",45208,1800000,8/15/2022,6,5,1880,6398,47916,2
Prashant Mukesh Gupta,"313 McGregor Ave UNIT C, Cincinnati, OH",45219,218000,12/20/2023,2,1.5,1881,1248,8751,3
Shreyas Nadig,"2237 Flora St, Cincinnati",45219,280000,12/6/2023,3,2,1881,"2,000",1001,
Prashant Mukesh Gupta,"2237 Flora St, Cincinnati, OH",45219,280000,12/6/2023,3,2,1881,2000,1001,0
Shreyas Nadig,"259 Klotter Ave, Cincinnati",45219,415000,7/25/2023,2,1.5,1882,"1,691",4094,
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"259 Klotter Ave, Cincinnati, OH",45219,415000,7/25/2023,2,1.5,1882,1691,4094,0
Nikhil Sai Kumar Runku,"259 Klotter Ave, Cincinnati, OH",10/20/2023,415000,7/25/2023,2,1.5,1882,1691,4094,0
Sergio Mateo,6464 Revere Ave,45233,160100,9/6/2023,4,2,1884,1704,9801,2
Shreyas Nadig,"258 Klotter Ave, Cincinnati",45219,220000,10/6/2023,2,2,1884,"1,200",2482,
Prashant Mukesh Gupta,"258 Klotter Ave, Cincinnati, OH",45219,220000,10/6/2023,2,1.5,1884,1200,2482,0
Archana Basnett,"508 Tafel St, Cincinnati, OH",45225,109000,6/4/2021,2,2,1885,1408,2500,1
Nishit Raj,"8373 Wiswell Ave, Cincinnati, OH",45216,120000,11/8/2023,4,2,1885,2611,7492,2
Shreyas Nadig,"345 City View Pl, Cincinnati",45219,135000,10/11/2022,2,2,1885,"1,152",1393,
Ajay Mahato,"6460 Gracely Dr, Cincinnati, OH",45233,241000,1/3/2024,3,2,1885,1776,98010,2
Shreyas Nadig,"2213 Wheeler St, Cincinnati",45219,300749,10/26/2023,6,2,1885,"2,232",2047,
Prashant Mukesh Gupta,"2213 Wheeler St, Cincinnati, OH",45219,300749,10/26/2023,6,2,1885,2232,2047,0
Prashant Mukesh Gupta,"459 Warner St, Cincinnati, OH",45219,350000,10/6/2023,4,2,1885,2227,3005,0
Georgia Croci,"3026 Woodburn Ave, Cincinnati OH",45206,2050000,11/20/2023,6,2,1886,3921,NA,1
Lokesh Rudravalambi Suresh,"2605 Eden Ave APT 6, Cincinnati",45219,131000,1/12/2024,1,1,1888,779,4003,3
Prashant Mukesh Gupta,"2605 Eden Ave APT 6, Cincinnati",45219,131000,1/12/2024,1,1,1888,"2,500",779,3
Nicole Baker,"440 Hopkins St, Cincinnati, OH",45203,665000,1/4/2022,5,6,1889,4488,2262,2
Mohammed Tahir Madni Mohammed,"1741 Holloway Ave, Cincinnati, OH",45207,10000,11/13/2023,4,2,1890,1482,2134,1
Archana Basnett,"2225 Flora St, Cincinnati, OH",45219,27886,11/15/2023,2,1,1890,1080,"3,049",1
Shreyas Nadig,"2225 Flora St, Cincinnati",45219,27886,11/15/2023,2,1,1890,"1,080",3049,
Bhargav Sreepathi,"1423 Chase Ave, Cincinnati, OH",45226,42500,12/1/2023,3,3,1890,2374,2744,0
William Treutel,"1905 Colerain Ave, Cincinnati, OH",45214,60000,5/5/2023,2,2,1890,1440,1481,
Kory Bailey,"305 Locust St, Cincinnati, OH",45216,70000,12/18/2023,3,2,1890,1336,3092,N/A
Anil Palazzo,"25 W 68th St, Cincinnati, OH ",45216,88000,1/9/2024,2,1,1890,868,"5,706",1
Ranjay Bose,"25 W 68th St,Cincinnati,OH",45216,88000,1/9/2024,2,1,1890,868,5706.36,1
Surya Sanjay Bandari,"25 W 68th St, Cincinnati, OH ",45216,88000,1/9/2024,2,1,1890,1988,5760,1
Anil Palazzo,"2637 Victory Pkwy, Cincinnati, OH",45206,110000,1/5/2024,2,3,1890,"3,000","3,659",open parking
Zachary Durst,"826 Washington St, New Richmond, OH",45157,140000,12/7/2023,4,2,1890,1820,34412.4,2
Shreyas Nadig,"2221 Flora St, Cincinnati",45219,150000,10/10/2022,3,1,1890,624,1393,
Archana Basnett,"611 Tafel St, Cincinnati, OH ",45225,165000,12/28/2021,4,2,1890,1998,3659.04,1
Shreyas Nadig,"2245 Victor St, Cincinnati",45219,175000,3/16/2023,3,2,1890,"1,152",958,
Kory Bailey,"1315 Laidlaw Ave, Cincinnati, OH",45237,187000,12/23/2023,3,2,1890,1374,N/A,0
Robin Verdon,"6600 E. Ledge St, Cincinnati, OH",45227,192000,12/22/2023,4,2,1890,1950,6917,2
Shreyas Nadig,"2229 Wheeler St, Cincinnati",45219,242394,10/26/2023,3,2,1890,"1,566",2613,
Prashant Mukesh Gupta,"2229 Wheeler St, Cincinnati, OH",45219,242394,10/26/2023,3,2,1890,1566,2613,0
Mohammed Tahir Madni Mohammed,"1714 Brewster Ave, Cincinnati, OH",45207,250000,10/3/2023,2,1,1890,1136,3833,0
Mohammed Tahir Madni Mohammed,"1857 Fairfax Ave, Cincinnati, OH",45207,276000,12/19/2023,5,3,1890,2262,7535,0
William Treutel,"2451 Riverside Dr, Cincinnati OH",45202,282200,11/1/2023,2,3,1890,1880,3049,
Ajay Mahato,"1933 Fairfax Ave, Cincinnati, OH",45207,290000,1/5/2024,2,2,1890,1796,3005,NA
Anil Palazzo,"1933 Fairfax Ave, Cincinnati, OH",45207,290000,1/5/2024,2,2,1890,"1,796","3,005",off street
Jadyn Bauss,"1933 Fairfax Ave, Cincinnati, OH",45207,290000,1/5/2024,2,2,1890,"1,796","3,005",0
Kory Bailey,"1933 Fairfax Ave, Cincinnati, OH",45207,290000,1/5/2024,2,1.5,1890,1796,3005,0
Mohammed Tahir Madni Mohammed,"1933 Fairfax Ave, Cincinnati, OH",45207,290000,1/5/2024,2,2,1890,1796,3005,0
Nikhita Veluri,"3575 Kroger Ave, Cincinnati, OH",45226,460000,10/27/2023,4,2.5,1890,2457,6011,1
Shivani Pilli,236 Loraine Ave,45220,465000,8/4/2023,4,3,1890,2733,5061,Open
Ishaan Chaudhari,"11592 McCallum Ave NE, Alliance, OH",44601,700000,3/6/2023,4,3,1890,3136,3338874,4
Georgia Croci,"9 Filson Place, Cincinnati OH",45202,899900,12/8/2023,3,3,1890,2392,2047,2
Rachael Rahe,"3416 Brookline Ave, Cincinnati, OH",45220,980000,10/6/2023,5,5,1890,7262,8145,6
Mohammed Tahir Madni Mohammed,"3312 Graydon Ave, Cincinnati, OH",45207,58500,10/25/2023,2,1,1891,1050,3484,N/A
Shreyas Nadig,"306 Klotter Ave, Cincinnati",45219,235000,5/30/2023,2,2,1891,"1,762",2526,
David Dickens,"1850 Kinney Ave, Cincinnati, OH",45207,385000,12/15/2022,6,4,1891,3695,7579,N/A
Archana Basnett,"2738 Enslin St, Cincinnati, OH",45225,10000,3/25/2022,2,0,1892,1120,3049,1
Shivani Pilli,115 Ehrman Ave,45220,38500,11/29/2023,5,3,1893,3296,8668,4
Caylee Rosa,"230 Oakmont St, Cincinnati, OH",45216,236000,11/21/2023,4,2,1893,"2,610",20473.2,4
Shreyas Nadig,"2177 Sohn St #2, Cincinnati",45219,186500,8/21/2023,3,3,1894,"1,300",2178,2
Nikhil Sai Kumar Runku,"2177 Sohn St #2, Cincinnati",45219,186500,8/21/2023,3,3,1894,"1,300",2178,2
Shreyas Nadig,"2217 Victor St, Cincinnati",45219,307000,4/6/2023,3,2,1894,"1,189",2134,
Shreyas Nadig,"261 Klotter Ave, Cincinnati",45219,516116,2/8/2023,3,2,1894,"2,176",2221,
William Treutel,"3516 Hudson Ave, Cincinnati, OH",45207,85000,5/20/2022,4,3,1895,1882,2918,
Shreyas Nadig,"2175 Sohn St, Cincinnati",45219,120000,11/4/2022,1,1,1895,900,2265,0
Ajay Mahato,"3557 Wilson Ave, Cincinnati, OH",45229,135000,1/5/2024,4,2,1895,1942,6098,1
Anil Palazzo,"3557 Wilson Ave, Cincinnati, OH",45229,135000,1/5/2024,4,2,1895,"1,942","6,098",1
Kory Bailey,"3557 Wilson Ave, Cincinnati, OH",45229,135000,1/5/2024,4,2,1895,1942,6098,1
Sergio Mateo,2247 Wheeler St,45219,168000,9/11/2023,4,2,1895,1568,2613.6,NA
Shreyas Nadig,"2247 Wheeler St, Cincinnati",45219,168000,9/11/2023,4,2,1895,"1,568",2613,
Prashant Mukesh Gupta,"424 Southview Ave, Cincinnati, OH",45219,168000,9/11/2023,4,2,1895,1568,2613,0
Shreyas Nadig,"2209 Wheeler St, Cincinnati",45219,190000,3/17/2023,3,2,1895,"2,700",3483,1
Shreyas Nadig,"2225 Victor St, Cincinnati",45219,200000,8/29/2022,5,2,1895,"2,500",2134,0
Jameson Zink,"2136 Fulton Ave #4,Cincinnati,OH",45206,219000,1/12/2024,3,3,1895,1444,NA,NA
Lokesh Rudravalambi Suresh,"2136 Fulton Ave #4, Cincinnati",45206,219000,1/12/2024,3,3,1895,1444,1444,0
Jayavardhan Reddy Mallu,"2136 Fulton Ave #4, Cincinnati, OH",45206,219000,1/12/2024,3,3,1895,"1,444",N/A,N/A
Shivani Pilli,3418 Whitfield Ave,45220,395000,7/28/2023,4,3,1895,2614,8232,3
William Treutel,"1763 E McMillan St, Cincinnati, OH",45206,999000,11/27/2023,5,4,1895,3828,18295,2
Lokesh Rudravalambi Suresh,3357 Everson Ave,45209,250000,12/21/2023,3,2,1896,2013,6403,0
Qinghua Huang,"3354 Everson Ave, Cincinnati",45209,360000,11/14/2023,3,2,1896,1256,7501,N/A
Sai Shivani Aahwanika Maddi Lakshmi,"3354 Everson Ave, Cincinnati, OH",45209,360000,11/14/2023,3,2,1896,"1,256","7,501",1
Hrishikesh Anil Patil,"2491 Warsaw Ave, Cincinnati, OH",45204,60000,11/29/2023,2,2,1898,1278,"4,530",NA
Mohammed Tahir Madni Mohammed,"1911 Clarion Ave, Cincinnati, OH",45207,125000,10/27/2023,4,2,1898,2207,2744,N/A
Srikar Kudumula,"2697 Old US Highway 40 NW, London, OH",43140,163500,10/20/2023,2,2,1899,1382,4356,2
Derek Schult,4378 Eastern Ave,45226,182000,5/16/2022,3,2,1899,1408,2657,0
Rachael Rahe,"1890 Madison Rd, Cincinnati, OH",45206,1150000,4/2/2021,7,7,1899,7085,23522.4,2
Mohammed Tahir Madni Mohammed,"1758 Brewster Ave, Cincinnati, OH",45207,73000,11/28/2023,6,3,1900,3154,7579,N/A
Sergio Mateo,3726 Tappan Ave,45223,85000,9/8/2023,3,2,1900,1402,3005.64,1
Ramvyasa Thavasiraj,"817 Auburn St, Middletown, OH ",45042,90000,1/16/2024,2,1,1900,937,"4,356",1
Sergio Mateo,2773 N Bend Rd,45239,97000,9/6/2023,3,2,1900,1461,8624.88,2
Lokesh Rudravalambi Suresh,"6746 Parkland Ave, Cincinnati",45233,115000,1/15/2024,3,2,1900,1585,8102,2
Mohammed Tahir Madni Mohammed,"1840 Brewster Ave, Cincinnati, OH",45207,136429,10/19/2023,4,2.5,1900,2727,7710,0
Derek Schult,1708 Fairfax Ave,45207,165000,3/7/2019,5,2,1900,2294,2482,2
Hunter Jessee,"1909 Maple Ave, Cincinnati, OH",45212,229900,12/11/2023,3,2,1900,1814,8407,0
Caylee Rosa,"1627 Larch Ave, Cincinnati, OH ",45224,255000,12/18/2023,N/A,N/A,1900,"2,560","8,450",0
Ajay Mahato,"4 W 14th St UNIT 202, Cincinnati, OH",45202,292000,1/5/2024,1,1,1900,1042,,NA
Anil Palazzo,"4 W 14th St UNIT 202, Cincinnati, OH",45202,292000,1/5/2024,1,1,1900,"1,042","17,859.60",open parking
Qinghua Huang,"4 W 14th St UNIT 202, Cincinnati OH",45202,292000,1/5/2024,1,1,1900,1042,17890,Street Parking
Ishaan Chaudhari,"1541 S Elliott Rd, Stockport, OH",43787,307000,6/29/2021,4,2,1900,2016,3345408,1
Qinghua Huang,"1403 Vine St #2, Cincinnati OH",45202,367700,6/6/2023,2,2,1900,1081,2330,N/A
Josie Wittwer,"4623 Winona Ter, Cincinnati, OH",45227,381000,9/26/2023,3,2.5,1900,"1,306","7,405",open parking
Sai Shivani Aahwanika Maddi Lakshmi,"2911 Cadillac Ave, Cincinnati, OH",45209,450000,3/16/2023,3,2,1900,"1,758","3,500",NA
Shivani Pilli,545 Evanswood Pl,45220,640000,11/17/2023,5,1.5,1900,3616,10018,Open
Nathan Poeppelman,"6291 Morrow Cozaddale Rd, Morrow, OH",45152,120000,10/26/2023,2,1,1901,1214,62290.8,1
Derek Schult,4606 Winona Ter,45227,120000,10/6/2021,3,2,1901,1300,6708,2
Hunter Jessee,"3943 S Madison Ave, Cincinnati, OH",45212,315000,12/8/2023,3,1,1901,1709,4791,0
Ishaan Chaudhari,"10216 N Union Rd, Hillsboro, OH",45133,540000,7/2/2021,4,5,1901,3820,3753129.6,2
Shreyas Nadig,"2200 Clifton Ave, Cincinnati",45219,214000,7/27/2023,3,2,1902,"1,656",2200,
Shreyas Nadig,"2200 W Clifton Ave, Cincinnati",45219,214000,7/24/2023,3,2,1902,"1,656",2003,
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"2200 Clifton Ave, Cincinnati, OH",45219,214000,7/27/2023,3,2,1902,1656,2200,0
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"2200 W Clifton Ave, Cincinnati, OH",45219,214000,7/24/2023,3,2,1902,1656,2003,0
Mohammed Tahir Madni Mohammed,"1730 Fairfax Ave, Cincinnati, OH",45207,333500,11/9/2023,5,3,1902,2709,5998,0
Josie Wittwer,"938 Lenox Pl, Cincinnati, OH",45229,700000,12/28/2023,7,4,1902,"5,163",16117.2,open parking
Lokesh Rudravalambi Suresh,"827 Woodlawn Ave, Cincinnati",45205,110000,12/22/2023,4,2,1903,1950,6969,1
Rachael Rahe,"3980 Rose Hill Ave, Cincinnati, OH",45229,609000,1/13/2022,6,7,1903,7586,22215.6,2
Jadyn Bauss,"133 Huey Ave, Cincinnati, OH",45233,165000,1/12/2024,2,2,1904,"1,120","3,659",1
Jameson Zink,"133 Huey Ave,Cincinnati,OH",45233,165000,1/12/2024,2,2,1904,1120,3659.04,1
Ranjay Bose,"133 Huey Ave,Cincinnati,OH",45233,165000,1/12/2024,2,2,1904,1120,3659.04,1
Archana Basnett,"2218 Wheeler St, Cincinnati, OH",45219,280000,11/15/2023,4,2,1904,1959,"2,500",1
Shreyas Nadig,"2218 Wheeler St, Cincinnati",45219,280000,11/15/2023,4,2,1904,"1,959",2500,
Prashant Mukesh Gupta,"2218 Wheeler St, Cincinnati, OH",45219,280000,11/15/2023,4,2,1904,1959,3500,0
Qinghua Huang,"4203 28th St, Cincinnati, OH",45209,461814,11/14/2023,4,2,1904,2241,5662,N/A
Kory Bailey,"1804 Baltimore Ave, Cincinnati, OH",45225,45000,1/3/2024,3,1,1905,1987,2570,0
Pimlapas Kumkerd,"1804 Baltimore Ave, Cincinnati, OH",45225,45000,1/3/2024,3,1,1905,"1,987","2,570",
Qinghua Huang,"2212 Burnet Ave, Cincinnati, OH",45219,74000,3/31/2016,4,2,1905,2626,4051,Garage Detached
Mohammed Tahir Madni Mohammed,"1910 Kinney Ave, Cincinnati, OH",45207,120000,11/6/2023,2,1,1905,1471,5009,N/A
Derek Schult,1932 Sutton Ave,45230,146500,4/9/2020,3,1,1905,1312,10019,3
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"404 Warner St, Cincinnati, OH",45219,160000,8/4/2023,2,1.5,1905,1956,2526,0
Bhargav Sreepathi,"4758 Eastern Ave, Cincinnati, OH",45226,190000,11/29/2023,3,2,1905,1539,5706,NA
Prashant Mukesh Gupta,"2355 Flora St, Cincinnati, OH",45219,276000,10/13/2023,3,2.5,1905,1662,35283,0
Prashant Mukesh Gupta,"2421 Fairview Ave, Cincinnati, OH",45219,310000,12/18/2023,4,2,1905,2150,5924,0
Sai Shivani Aahwanika Maddi Lakshmi,"3869 Isabella Ave, Cincinnati, OH",45209,325000,11/27/2023,2,1,1905,"1,032","5,967",1
Pimlapas Kumkerd,"2216 Burnet Ave, Cincinnati, OH",45219,402000,12/29/2023,5,4,1905,"2,362","4,530",
Qinghua Huang,"2216 Burnet Ave, Cincinnati, OH",45219,402000,12/29/2023,5,4,1905,2362,4530,N/A
Prashant Mukesh Gupta,"2216 Burnet Ave, Cincinnati, OH",45219,402000,12/29/2023,5,4,1905,2362,4530,0
Hunter Jessee,"2718 Willard Ave, Cincinnati, OH",45209,435000,12/8/2023,4,3,1905,1899,3789,1
Archana Basnett,"3312 Orion Ave, Cincinnati, OH",45213,450000,11/15/2023,4,3,1905,1918,"6,141",2
Bhargav Sreepathi,"3312 Orion Ave, Cincinnati, OH",45213,450000,11/15/2023,4,3,1905,1918,6141,2
Robin Verdon,"6615 Windward Ave, Cincinnati, OH",45227,459900,11/10/2023,4,3,1905,1835,7535,
Nikhita Veluri,"6270 Robison Rd, Cincinnati, OH",45213,482500,10/6/2023,5,2.5,1905,2558,12196,2
Sai Shivani Aahwanika Maddi Lakshmi,"3766 Drake Ave, Cincinnati, OH",45209,649900,11/21/2023,3,3,1905,"1,994",9452,2
Nicole Baker,"3624 Edwards Rd, Cincinnati, OH",45208,740000,6/21/2023,4,3,1905,2100,8015,1
Rachael Rahe,"2544 Observatory Ave, Cincinnati, OH",45208,980000,6/29/2021,5,4,1905,4614,14810.4,2
Georgia Croci,"2861 Observatory Ave, Cincinnati OH",45208,1025000,12/5/2023,5,4,1905,4125,8232,4
Hunter Jessee,"2861 Observatory Ave, Cincinnati, OH",45208,1025000,12/5/2023,5,4,1905,4125,8232,4
William Treutel,"2861 Observatory Ave, Cincinnati OH",45208,1025000,12/5/2023,5,4,1905,4125,8232,4
Mohammed Tahir Madni Mohammed,"3347 Bonaparte Ave, Cincinnati, OH",45207,145000,12/6/2023,5,2,1906,1816,4181,0
Prashant Mukesh Gupta,"2486 Paris St, Cincinnati, OH",45219,152000,9/29/2023,5,3,1906,2184,3920,2
Robin Verdon,"6208 Chandler St, Cincinnati, OH",45227,214300,12/21/2023,2,1,1906,1479,7056,
Qinghua Huang,"2610 Marsh Ave, Cincinnati, OH",45212,235000,8/24/2023,3,3,1906,1400,3615,N/A
Sai Shivani Aahwanika Maddi Lakshmi,"3341 Cardiff Ave, Cincinnati, OH",45209,350000,11/16/2023,2,3,1906,"1,180","3,920",1
Ranjay Bose,"6204 Chandler St,Cincinnati,OH",45227,430000,1/8/2024,4,4,1906,1612,7405.2,6
Sai Shivani Aahwanika Maddi Lakshmi,"2715 Atlantic Ave, Cincinnati, OH",45209,480000,3/21/2023,4,2,1906,"2,451",NA,NA
David Dickens,"3758 Clifton Ave, Cincinnati, OH",45220,532000,12/13/2021,4,3,1906,3017,10890,2
Georgia Croci,"2599 Observatory Avenue, cincinnati OH",45208,1200000,11/9/2023,4,4,1906,2955,7492,NA
Derek Schult,3327 Bonaparte Ave,45207,75000,3/3/2023,4,3,1907,2164,5619,2
Mohammed Tahir Madni Mohammed,"3552 Trimble Ave, Cincinnati, OH",45207,150000,12/28/2023,3,2,1907,2518,8712,2
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"423 Dorchester Ave, Cincinnati, OH",45219,372000,7/14/2023,4,2,1907,1648,3092,0
Shivani Pilli,3272 Jefferson Ave,45220,490000,11/8/2023,5,3,1907,3263,8001,Open
Rachael Rahe,"209 Hosea Ave, Cincinnati, OH",45220,749900,7/31/2023,4,4,1907,4603,9626,2
Shivani Pilli,209 Hosea Ave,45220,749900,7/31/2023,4,4,1907,4603,9626,2
David Dickens,"3346 Bonaparte Ave, Cincinnati, OH",45207,39000,1/28/2021,5,2,1908,2219,5600,2
Matt Guido,1308 Beech Ave,45205,50000,12/19/2023,3,2,1908,1000,1001,NAN
Sergio Mateo,1244 Iliff Ave,45205,50000,9/6/2023,3,2,1908,1662,3005.64,NA
Prashant Mukesh Gupta,"232 Helen St, Cincinnati, OH",45219,209900,10/18/2023,3,1,1908,1660,3000,1
Mohammed Tahir Madni Mohammed,"3511 Bevis Ave, Cincinnati, OH",45207,262500,8/28/2023,4,3,1908,1922,6229,0
Hunter Jessee,"3515 Trimble Ave, Cincinnati, OH",45207,350000,12/8/2023,3,3,1908,2236,7230,2
Mohammed Tahir Madni Mohammed,"3515 Trimble Ave, Cincinnati, OH",45207,350000,12/8/2023,3,3,1908,2236,7230,0
Qinghua Huang,"4105 Floral Ave, Cincinnati, OH",45212,475000,12/29/2023,4,3,1908,2294,5662,2 Graage Space
Hrishikesh Anil Patil,"4105 Floral Ave, Cincinnati, OH",45212,475000,12/29/2023,4,3,1908,"2,294","5,662",2
Bhargav Sreepathi,"4227 Eastern Ave, Cincinnati",45226,92500,11/30/2023,2,2,1909,811,810.22,0
Prashant Mukesh Gupta,"243 Klotter Ave, Cincinnati, OH",45219,229000,9/15/2023,3,2,1909,2124,2221,0
Shreyas Nadig,"243 Klotter Ave, Cincinnati",45219,229900,9/15/2023,3,2,1909,"2,124",2221,
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"2925 Vaughn St, Cincinnati, OH",45219,131000,7/18/2023,2,1,1910,1200,2047,NA
Sergio Mateo,2321 Auburncrest Ave,45219,145000,9/8/2023,3,3,1910,1540,3484,NA
Prashant Mukesh Gupta,"2321 Auburncrest Ave, Cincinnati, OH",45219,145000,9/8/2023,3,2.5,1910,1540,3484,0
Hrishikesh Anil Patil,"3532 Idlewild Ave, Cincinnati, OH",45207,150000,3/24/2023,5,2,1910,1905,"2,265",2
David Dickens,"3512 Wabash Ave, Cincinnati, OH",45207,175000,9/23/2021,1,1,1910,900,6185,1
Srikar Kudumula,"151 E High St, London, OH",43140,175000,1/12/2024,3,2,1910,1224,5662,1
Pimlapas Kumkerd,"1233 Lincoln Ave, Cincinnati, OH",45206,180000,12/27/2023,4,1,1910,"1,320","5,401",
Prashant Mukesh Gupta,"2218 Highland Ave, Cincinnati, OH",45219,185000,9/27/2023,4,2,1910,3368,6011,1
Jameson Zink,"401 Dorchester Ave,Cincinnati,OH",45219,235000,1/11/2024,3,3,1910,1749,4268.88,1
Ranjay Bose,"401 Dorchester Ave,Cincinnati,OH",45219,235000,1/11/2024,3,3,1910,1749,4268.88,N/A
Prashant Mukesh Gupta,"401 Dorchester Ave, Cincinnati, OH",45219,235000,1/11/2024,3,2.5,1910,1749,4268,0
Mohammed Tahir Madni Mohammed,"3523 Bevis Ave, Cincinnati, OH",45207,300000,11/17/2023,5,3,1910,2708,7927,N/A
Josie Wittwer,"1905 Kinney Ave, Cincinnati, OH ",45207,339000,12/15/2023,4,3,1910,"1,242","3,702",NA
Mohammed Tahir Madni Mohammed,"1905 Kinney Ave, Cincinnati, OH",45207,339000,12/15/2023,4,3,1910,1242,3702,0
Robin Verdon,"4706 Winona Ter, Cincinnati, OH",45227,365000,11/29/2023,3,3,1910,1680,7492,
Mohammed Tahir Madni Mohammed,"3466 Hudson Ave, Cincinnati, OH",45207,385000,10/27/2023,4,3,1910,2133,6098,1
Nikhita Veluri,"3314 Ormond Ave, Cincinnati, OH",45220,485000,9/6/2023,4,4,1910,2319,5183,1
Sergio Mateo,3314 Ormond Ave,45220,485000,9/6/2023,4,4,1910,2319,5183.64,1
Shivani Pilli,3314 Ormond Ave,45220,485000,9/6/2023,4,4,1910,2319,5183,Open
David Dickens,"3629 Middleton Ave, Cincinnati, OH",45220,575000,4/9/2021,4,4,1910,2779,7400,2
Georgia Croci,"3815 Drake Ave, Cincinnati OH",45209,815000,12/5/2023,6,3,1910,3005,8842,2
